latitude,longitude,avg_convenience_dist,avg_transit_distance,avg_school_distance
49.2647856,-122.993126,2.5949548232450868,,2.134876266744557
49.2637912,-123.0041441,1.931035193400143,,2.2574780704093103
49.2677416,-122.9495198,1.4931955755497213,2.7510964259273516,2.7562466988750587
49.2794858,-122.9093409,,2.9186990569684377,
49.2634664,-122.9721366,1.2480255331721577,,1.6716027756091802
49.2643434,-122.9903544,2.5542430756373937,,2.1526355676363362
49.2643581,-123.009297,1.8006618864807946,,2.2398414366505155
49.2478408,-122.9808246,2.455499071700087,,1.2401988759127047
49.265457,-123.0130449,1.8256569386362869,,2.0168393810390994
49.26584,-123.0140792,1.8496862007266799,,2.0087104008844765
49.268316,-123.0137445,2.124241962698299,,2.042337289483083
49.27994,-123.012311,,,1.3500600982641975
49.2845529,-122.955726,,,
49.2731577,-122.9728453,2.1489535497312855,,2.7667379373315253
49.2384688,-123.0195653,1.6690892668892392,,1.829551623137355
49.2700674,-122.9634965,1.598175518221936,,2.592950775177999
49.2806568,-122.95973,2.7474206251407693,,
49.2311171,-122.9672981,2.261833198639504,,2.322183960285511
49.2304203,-123.003606,1.8624462481196062,,2.204870045383597
49.267649,-122.980844,2.0301936009286563,,2.232895181877858
49.2814971,-123.0121039,,,1.3123982169694508
